Name:	PF
PG:	2.7240614
QG:	0.86531840
PD:	2.5900000
QD:	0.81300000
PL:	0.13406136
QL:	0.26378588
Sparsity:	0.27551020

#Bus
#Idx	No	Mod	Theta	Real	Imag	P	Q	PG	QG	PD	QD
9	9	1.0549819	-0.26037543	1.0194220	-0.27159806	-0.29500000	-0.16600000	0.0000000	0.0000000	0.29500000	0.16600000	
1	1	1.0600000	0.0000000	1.0600000	0.0000000	2.3240614	-0.16009772	2.3240614	-0.16009772	0.0000000	0.0000000	
2	3	1.0450000	-0.087009105	1.0410469	-0.090809833	0.18300000	0.32705090	0.40000000	0.45405090	0.21700000	0.12700000	
3	2	1.0100000	-0.22234542	0.98513676	-0.22272309	-0.94200000	0.062790568	0.0000000	0.25279057	0.94200000	0.19000000	
4	6	1.0154729	-0.17948278	0.99916055	-0.18128293	-0.47800000	-0.039000000	0.0000000	0.0000000	0.47800000	0.039000000	
5	4	1.0183217	-0.15288893	1.0064433	-0.15508429	-0.076000000	-0.016000000	0.0000000	0.0000000	0.076000000	0.016000000	
6	11	1.0700000	-0.24815599	1.0372227	-0.26281004	-0.11200000	0.061197893	0.0000000	0.13619789	0.11200000	0.075000000	
7	5	1.0605269	-0.23278679	1.0319216	-0.24465299	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	
8	0	1.0900000	-0.23278679	1.0605997	-0.25145214	0.0000000	0.18237676	0.0000000	0.18237676	0.0000000	0.0000000	
10	7	1.0501982	-0.26319693	1.0140327	-0.27322871	-0.090000000	-0.058000000	0.0000000	0.0000000	0.090000000	0.058000000	
11	8	1.0565054	-0.25796051	1.0215481	-0.26952412	-0.035000000	-0.018000000	0.0000000	0.0000000	0.035000000	0.018000000	
12	10	1.0551158	-0.26306353	1.0188175	-0.27437221	-0.061000000	-0.016000000	0.0000000	0.0000000	0.061000000	0.016000000	
13	12	1.0502428	-0.26443535	1.0137366	-0.27449595	-0.13500000	-0.058000000	0.0000000	0.0000000	0.13500000	0.058000000	
14	13	1.0349231	-0.27961914	0.99472737	-0.28562802	-0.14900000	-0.050000000	0.0000000	0.0000000	0.14900000	0.050000000	

#Branch
#Idx	No	From	To	Iij(Real)	Iij(Imag)	Pij	Qij	Pji	Qji	PL	QL
1009	0	6	12	0.064806684	-0.040810578	0.077944392	0.025297810	-0.077223475	-0.023797379	0.00072091749	0.0015004304	
1001	1	1	2	1.4807876	0.16468696	1.5696348	-0.20423122	-1.5266140	0.27708745	0.043020763	0.072856237	
1002	2	1	5	0.71172316	-0.067711375	0.75442655	0.044133497	-0.72680994	0.016719735	0.027616607	0.060853232	
1003	3	2	3	0.69425017	-0.11763042	0.73342896	0.035498687	-0.71013037	0.016403304	0.023298592	0.051901990	
1004	4	2	4	0.53346743	-0.061742960	0.56097146	-0.0045876409	-0.54421256	0.015734242	0.016758906	0.011146601	
1005	5	2	5	0.39270242	-0.070388824	0.41521362	0.019052398	-0.40614891	-0.027569027	0.0090647190	-0.0085166293	
1006	6	3	4	-0.23790351	-0.011215084	-0.23186963	0.046387264	0.23567070	-0.072173019	0.0038010656	-0.025785755	
1007	7	4	5	-0.61514957	-0.022074268	-0.61063149	0.12697227	0.61568976	-0.12425320	0.0050582651	0.0027190691	
1008	8	6	11	0.058132265	-0.051046801	0.073711715	0.037669158	-0.073143247	-0.036478714	0.00056846823	0.0011904436	
1010	9	6	13	0.14409805	-0.10711621	0.17761298	0.073232951	-0.17548042	-0.069033289	0.0021325523	0.0041996611	
1011	10	7	8	0.038598625	0.16280511	-9.9732722e-13	-0.17744538	9.9733416e-13	0.18237676	6.9388939e-18	0.0049313821	
1012	11	7	9	0.24493295	-0.11362249	0.28054969	0.057325923	-0.28054969	-0.049305950	0.0000000	0.0080199733	
1013	12	9	10	0.037931745	-0.049499822	0.052112511	0.040159020	-0.051988801	-0.039830395	0.00012371067	0.00032862469	
1014	13	9	14	0.077662762	-0.054822612	0.094060844	0.034794322	-0.092912148	-0.032350892	0.0011486960	0.0024434304	
1015	14	10	11	-0.030446684	0.026121952	-0.038011199	-0.018169605	0.038143247	0.018478714	0.00013204774	0.00030910918	
1016	15	12	13	0.012925333	-0.011134213	0.016223475	0.0077973792	-0.016159179	-0.0077392071	6.4295438e-05	5.8172063e-05	
1017	16	13	14	0.047383678	-0.031348503	0.056639604	0.018772497	-0.056087852	-0.017649108	0.00055175205	0.0011233882	
1018	17	4	7	0.28353158	0.049182620	0.28054969	-0.10280242	-0.28054969	0.12011946	0.0000000	0.017317036	
1019	18	4	9	0.15195724	-0.021042513	0.16062366	-0.0067310680	-0.16062366	0.019820092	-2.7755576e-17	0.013089024	
1020	19	5	6	0.38255133	-0.16924076	0.44126908	0.11910249	-0.44126908	-0.075002025	-5.5511151e-17	0.044100464	
