Name:	PF
PG:	7.5794273
QG:	4.1124861
PD:	7.3000000
QD:	3.1000000
PL:	0.27942728
QL:	1.0124861
Sparsity:	0.60000000

#Bus
#Idx	No	Mod	Theta	Real	Imag	P	Q	PG	QG	PD	QD
1	2	0.86215043	-0.083400742	0.85915374	-0.071820657	-1.6000000	-0.80000000	0.0000000	0.0000000	1.6000000	0.80000000	
2	3	1.0779161	0.31160287	1.0260073	0.33047260	-2.0000000	-1.0000000	0.0000000	0.0000000	2.0000000	1.0000000	
3	4	1.0364108	-0.074733778	1.0335179	-0.077382818	-3.7000000	-1.3000000	0.0000000	0.0000000	3.7000000	1.3000000	
4	0	1.0500000	0.38123784	0.97461502	0.39067321	5.0000000	1.8130840	5.0000000	1.8130840	0.0000000	0.0000000	
5	1	1.0500000	0.0000000	1.0500000	0.0000000	2.5794273	2.2994021	2.5794273	2.2994021	0.0000000	0.0000000	

#Branch
#Idx	No	From	To	Iij(Real)	Iij(Imag)	Pij	Qij	Pji	Qji	PL	QL
1001	0	1	2	-1.6731273	0.39971388	-1.4661813	-0.40907642	1.5845463	0.67255630	0.11836504	0.26347988	
1002	1	1	3	-0.11690312	0.46478251	-0.13381874	-0.39092358	0.15678765	0.47131477	0.022968912	0.080391193	
1003	2	2	3	1.2630267	0.36184256	1.4154537	-0.24433316	-1.2773604	0.20317048	0.13809332	-0.041162680	
1004	3	2	4	-5.0624929	-0.16898605	-5.0000000	-1.4282231	5.0000000	1.8130840	0.0000000	0.38486087	
1005	4	3	5	-2.4565974	2.1899068	-2.5794273	-1.9744853	2.5794273	2.2994021	-4.4408921e-16	0.32491688	
