IEEE14

14	20	5	11	1		
						
1	vt					
2	pv					
3	pv					
4	pq					
5	pq					
6	pv					
7	pq					
8	pv					
9	pq					
10	pq					
11	pq					
12	pq					
13	pq					
14	pq					
						
1001	l	1	2	0.01938	0.05917	0.0264
1002	l	1	5	0.05403	0.22304	0.0246
1003	l	2	3	0.04699	0.19797	0.0219
1004	l	2	4	0.05811	0.17632	0.0187
1005	l	2	5	0.05695	0.17388	0.017
1006	l	3	4	0.06701	0.17103	0.0173
1007	l	4	5	0.01335	0.04211	0.0064
1008	l	6	11	0.09498	0.1989	0
1009	l	6	12	0.12291	0.25581	0
1010	l	6	13	0.06615	0.13027	0
1011	l	7	8	0	0.17615	0
1012	l	7	9	0	0.11001	0
1013	l	9	10	0.03181	0.0845	0
1014	l	9	14	0.12711	0.27038	0
1015	l	10	11	0.08205	0.19207	0
1016	l	12	13	0.22092	0.19988	0
1017	l	13	14	0.17093	0.34802	0
1018	t	4	7	0	0.20912	0.978
1019	t	4	9	0	0.55618	0.969
1020	t	5	6	0	0.25202	0.932
						
2001	1	0	0	1.06	-1	1
2002	2	0.4	0	1.045	-1	1
2003	3	0	0	1.01	-1	1
2004	6	0	0	1.07	-1	1
2005	8	0	0	1.09	-1	1
						
3001	2	0.217	0.127	1.045		
3002	3	0.942	0.19	1.01		
3003	4	0.478	0.039	1		
3004	5	0.076	0.016	1		
3005	6	0.112	0.075	1.07		
3006	9	0.295	0.166	1		
3007	10	0.09	0.058	1		
3008	11	0.035	0.018	1		
3009	12	0.061	0.016	1		
3010	13	0.135	0.058	1		
3011	14	0.149	0.05	1		
						
4001	9	0.19				
